run_id,engine,unroll,task,dim,pop_size,num_gens,cold_ms,warm_ms,compile_ms,ms_per_step
0,Standard_GA,4,sphere,50,1024,200,3943.563,5.372,3938.191,0.0269
1,Standard_GA,4,sphere,50,1024,200,3923.462,5.520,3917.942,0.0276
2,Standard_GA,4,sphere,50,1024,200,3960.525,5.473,3955.052,0.0274
3,Standard_GA,4,sphere,50,1024,200,3911.418,5.452,3905.966,0.0273
4,Standard_GA,4,sphere,50,1024,200,4010.677,5.551,4005.127,0.0278
5,Standard_GA,4,sphere,50,1024,200,3838.491,5.412,3833.079,0.0271
6,Standard_GA,4,sphere,50,1024,200,3962.738,5.471,3957.267,0.0274
7,Standard_GA,4,sphere,50,1024,200,3832.233,5.316,3826.917,0.0266
8,Standard_GA,4,sphere,50,1024,200,3819.578,5.371,3814.207,0.0269
9,Standard_GA,4,sphere,50,1024,200,3852.205,5.358,3846.847,0.0268
10,Standard_GA,4,sphere,50,1024,200,3816.346,5.370,3810.976,0.0268
11,Standard_GA,4,sphere,50,1024,200,3829.478,5.521,3823.957,0.0276
12,Standard_GA,4,sphere,50,1024,200,3866.124,5.300,3860.824,0.0265
13,Standard_GA,4,sphere,50,1024,200,3904.900,5.381,3899.518,0.0269
14,Standard_GA,4,sphere,50,1024,200,4025.153,5.421,4019.732,0.0271
15,Standard_GA,4,sphere,50,1024,200,3772.814,5.370,3767.444,0.0269
16,Standard_GA,4,sphere,50,1024,200,3831.540,5.420,3826.120,0.0271
17,Standard_GA,4,sphere,50,1024,200,3873.555,5.446,3868.108,0.0272
18,Standard_GA,4,sphere,50,1024,200,3833.604,5.505,3828.099,0.0275
19,Standard_GA,4,sphere,50,1024,200,3775.988,5.296,3770.693,0.0265
0,Standard_GA_Ablation,4,sphere,50,1024,200,5467.105,6.745,5460.359,0.0337
1,Standard_GA_Ablation,4,sphere,50,1024,200,5249.783,6.820,5242.963,0.0341
2,Standard_GA_Ablation,4,sphere,50,1024,200,5416.281,6.796,5409.485,0.0340
3,Standard_GA_Ablation,4,sphere,50,1024,200,5518.188,6.873,5511.315,0.0344
4,Standard_GA_Ablation,4,sphere,50,1024,200,5386.696,6.780,5379.916,0.0339
5,Standard_GA_Ablation,4,sphere,50,1024,200,5442.542,6.803,5435.739,0.0340
6,Standard_GA_Ablation,4,sphere,50,1024,200,5573.427,6.733,5566.694,0.0337
7,Standard_GA_Ablation,4,sphere,50,1024,200,5246.508,6.638,5239.870,0.0332
8,Standard_GA_Ablation,4,sphere,50,1024,200,5341.508,6.800,5334.708,0.0340
9,Standard_GA_Ablation,4,sphere,50,1024,200,5315.765,6.618,5309.147,0.0331
10,Standard_GA_Ablation,4,sphere,50,1024,200,5397.974,6.585,5391.390,0.0329
11,Standard_GA_Ablation,4,sphere,50,1024,200,5355.752,6.631,5349.121,0.0332
12,Standard_GA_Ablation,4,sphere,50,1024,200,5434.949,6.714,5428.235,0.0336
13,Standard_GA_Ablation,4,sphere,50,1024,200,5358.798,6.585,5352.213,0.0329
14,Standard_GA_Ablation,4,sphere,50,1024,200,5302.529,6.654,5295.874,0.0333
15,Standard_GA_Ablation,4,sphere,50,1024,200,5362.113,6.575,5355.539,0.0329
16,Standard_GA_Ablation,4,sphere,50,1024,200,5296.250,6.596,5289.654,0.0330
17,Standard_GA_Ablation,4,sphere,50,1024,200,5174.144,6.678,5167.466,0.0334
18,Standard_GA_Ablation,4,sphere,50,1024,200,5244.394,6.670,5237.724,0.0333
19,Standard_GA_Ablation,4,sphere,50,1024,200,5375.740,6.591,5369.148,0.0330
