engine,unroll,task,dim,pop_size,num_gens,n_runs,warm_mean,warm_std,warm_min,warm_max,warm_p5,warm_p50,warm_p95,warm_ci_low,warm_ci_high,warm_cv,compile_mean,compile_std
Standard_GA,4,sphere,50,1024,200,20,5.416,0.075,5.296,5.551,5.300,5.416,5.523,5.381,5.451,1.39,3873.803,72.900
Standard_GA_Ablation,4,sphere,50,1024,200,20,6.694,0.094,6.575,6.873,6.584,6.674,6.823,6.650,6.738,1.40,5356.328,97.970
