engine,unroll,task,dim,pop_size,num_gens,n_runs,warm_mean,warm_std,warm_min,warm_max,warm_p5,warm_p50,warm_p95,warm_ci_low,warm_ci_high,warm_cv,compile_mean,compile_std
Standard_GA,4,sphere,50,512,200,20,4.663,0.085,4.409,4.811,4.571,4.676,4.801,4.624,4.703,1.82,3844.835,73.476
Standard_GA_Ablation,4,sphere,50,512,200,20,6.060,0.084,5.964,6.258,5.979,6.032,6.244,6.021,6.099,1.38,5386.344,75.361
