unroll_factor,cold_compile_ms,warm_dispatch_ms,execution_ms,total_cold_ms,total_warm_ms,steps_per_dispatch,ms_per_step
1,819.445516448468,0.046782661229372025,0.20367279648780823,819.6959719061852,0.25045545771718025,1,0.25045545771718025
2,1473.9907233510166,0.05470975302159786,0.21392479538917542,1474.2593578994274,0.2686345484107733,2,0.13431727420538664
4,2799.5293751824647,0.059070391580462456,0.25479914620518684,2799.8432447202504,0.3138695377856493,4,0.07846738444641232
8,5457.9505109693855,0.0595292542129755,0.3125579096376896,5458.322598133236,0.3720871638506651,8,0.04651089548133314
16,10006.967858597636,0.09899241849780083,0.31672278419137,10007.383573800325,0.41571520268917084,16,0.025982200168073177
32,20800.135683920234,0.13171909376978874,0.9414278902113438,20801.208830904216,1.0731469839811325,32,0.03353584324941039
