seed,best_fitness,generation,mean_fitness,std_fitness
42,160.72964477539062,1,106.3278579711914,0.0
42,168.1040802001953,2,137.8953094482422,0.0
42,176.48292541503906,3,155.09454345703125,0.0
42,177.17510986328125,4,168.78155517578125,0.0
42,177.36741638183594,5,173.958984375,0.0
42,180.0260009765625,6,176.32945251464844,0.0
42,180.91746520996094,7,177.8162384033203,0.0
42,181.84471130371094,8,179.31265258789062,0.0
42,182.99935913085938,9,180.220703125,0.0
42,183.69146728515625,10,181.9401092529297,0.0
42,183.76846313476562,11,183.10479736328125,0.0
42,183.8522491455078,12,183.4947967529297,0.0
42,184.48922729492188,13,183.66183471679688,0.0
42,184.90615844726562,14,183.84217834472656,0.0
42,185.40748596191406,15,184.3397979736328,0.0
42,185.46017456054688,16,184.8645782470703,0.0
42,186.29437255859375,17,185.26646423339844,0.0
42,189.29559326171875,18,185.83546447753906,0.0
42,190.3794708251953,19,186.63986206054688,0.0
42,192.4863739013672,20,188.24417114257812,0.0
42,192.85055541992188,21,190.7968292236328,0.0
42,192.85055541992188,22,192.46246337890625,0.0
42,193.08355712890625,23,192.61767578125,0.0
42,193.1466522216797,24,192.9098663330078,0.0
42,193.4396514892578,25,193.1061248779297,0.0
42,193.5282745361328,26,193.22303771972656,0.0
42,193.59555053710938,27,193.41757202148438,0.0
42,193.6715087890625,28,193.5018768310547,0.0
42,193.7089385986328,29,193.59671020507812,0.0
42,193.7730255126953,30,193.6787109375,0.0
42,193.7915496826172,31,193.70846557617188,0.0
42,193.82965087890625,32,193.70594787597656,0.0
42,193.83529663085938,33,193.78245544433594,0.0
42,193.8462677001953,34,193.8016357421875,0.0
42,193.84727478027344,35,193.81996154785156,0.0
42,193.84860229492188,36,193.83384704589844,0.0
42,193.8501739501953,37,193.83238220214844,0.0
42,193.85142517089844,38,193.8384552001953,0.0
42,193.8523712158203,39,193.83566284179688,0.0
42,193.8538818359375,40,193.8408966064453,0.0
42,193.85397338867188,41,193.8421630859375,0.0
42,193.85459899902344,42,193.84225463867188,0.0
42,193.85536193847656,43,193.844482421875,0.0
42,193.85543823242188,44,193.84515380859375,0.0
42,193.855712890625,45,193.8477325439453,0.0
42,193.85594177246094,46,193.8440704345703,0.0
42,193.85610961914062,47,193.84518432617188,0.0
42,193.85610961914062,48,193.8475341796875,0.0
42,193.85617065429688,49,193.84800720214844,0.0
42,193.85617065429688,50,193.84828186035156,0.0
42,193.85621643066406,51,193.84886169433594,0.0
42,193.85623168945312,52,193.8463592529297,0.0
42,193.85623168945312,53,193.84487915039062,0.0
42,193.85643005371094,54,193.8486328125,0.0
42,193.85643005371094,55,193.85104370117188,0.0
42,193.85643005371094,56,193.84628295898438,0.0
42,193.8564910888672,57,193.848388671875,0.0
42,193.8564910888672,58,193.844482421875,0.0
42,193.85650634765625,59,193.84878540039062,0.0
42,193.85650634765625,60,193.84893798828125,0.0
42,193.85650634765625,61,193.8431396484375,0.0
42,193.85650634765625,62,193.84632873535156,0.0
42,193.85650634765625,63,193.84776306152344,0.0
42,193.8565216064453,64,193.84597778320312,0.0
42,193.85653686523438,65,193.84573364257812,0.0
42,193.85662841796875,66,193.8452911376953,0.0
42,193.85662841796875,67,193.8479461669922,0.0
42,193.85662841796875,68,193.84754943847656,0.0
42,193.8566436767578,69,193.85018920898438,0.0
42,193.85665893554688,70,193.84823608398438,0.0
42,193.85667419433594,71,193.84954833984375,0.0
42,193.85667419433594,72,193.8450927734375,0.0
42,193.85667419433594,73,193.84605407714844,0.0
42,193.85667419433594,74,193.8488311767578,0.0
42,193.85667419433594,75,193.84829711914062,0.0
42,193.85667419433594,76,193.84593200683594,0.0
42,193.85667419433594,77,193.84507751464844,0.0
42,193.85667419433594,78,193.84402465820312,0.0
42,193.85667419433594,79,193.84388732910156,0.0
42,193.85667419433594,80,193.84445190429688,0.0
42,193.85667419433594,81,193.8474578857422,0.0
42,193.85667419433594,82,193.84841918945312,0.0
42,193.85667419433594,83,193.84906005859375,0.0
42,193.85667419433594,84,193.84828186035156,0.0
42,193.85667419433594,85,193.8460235595703,0.0
42,193.856689453125,86,193.8436279296875,0.0
42,193.856689453125,87,193.84201049804688,0.0
42,193.856689453125,88,193.84083557128906,0.0
42,193.856689453125,89,193.84616088867188,0.0
42,193.856689453125,90,193.85073852539062,0.0
42,193.856689453125,91,193.8466033935547,0.0
42,193.856689453125,92,193.84954833984375,0.0
42,193.856689453125,93,193.85012817382812,0.0
42,193.856689453125,94,193.8494110107422,0.0
42,193.856689453125,95,193.84437561035156,0.0
42,193.856689453125,96,193.84613037109375,0.0
42,193.856689453125,97,193.84628295898438,0.0
42,193.856689453125,98,193.8484344482422,0.0
42,193.856689453125,99,193.8443145751953,0.0
42,193.856689453125,100,193.8466796875,0.0
43,169.78260803222656,1,106.71875762939453,0.0
43,169.8770751953125,2,143.97348022460938,0.0
43,182.52444458007812,3,165.75961303710938,0.0
43,184.4199981689453,4,174.08941650390625,0.0
43,186.586669921875,5,180.47471618652344,0.0
43,187.26527404785156,6,183.62669372558594,0.0
43,189.74444580078125,7,185.74176025390625,0.0
43,190.41604614257812,8,187.70147705078125,0.0
43,191.2733154296875,9,189.03257751464844,0.0
43,191.73577880859375,10,189.97950744628906,0.0
43,192.1204071044922,11,191.32582092285156,0.0
43,192.6717071533203,12,191.8065643310547,0.0
43,192.93002319335938,13,192.2001190185547,0.0
43,193.4037322998047,14,192.57089233398438,0.0
43,193.44200134277344,15,192.86097717285156,0.0
43,193.55194091796875,16,193.31741333007812,0.0
43,193.61660766601562,17,193.44003295898438,0.0
43,193.6365966796875,18,193.5514373779297,0.0
43,193.67771911621094,19,193.60101318359375,0.0
43,193.71226501464844,20,193.65147399902344,0.0
43,193.724853515625,21,193.66004943847656,0.0
