unroll_factor,cold_compile_ms,warm_dispatch_ms,execution_ms,total_cold_ms,total_warm_ms,steps_per_dispatch,ms_per_step
1,968.2228794787079,0.0838864129036665,0.20248675718903542,968.5092526488006,0.2863731700927019,1,0.2863731700927019
2,1784.3266089912504,0.08483533747494221,0.24419790133833885,1784.6556422300637,0.32903323881328106,2,0.16451661940664053
4,3616.2349260412157,0.07050298154354095,0.30124280601739883,3616.6066718287766,0.3717457875609398,4,0.09293644689023495
8,7822.3795514553785,0.059978943318128586,0.408821739256382,7822.848352137953,0.4688006825745106,8,0.05860008532181382
16,16520.76303525828,0.15323343686759472,0.6549041718244553,16521.57117286697,0.80813760869205,16,0.050508600543253124
32,35205.64007908106,0.08214488625526428,1.6386942006647587,35207.36091816798,1.720839086920023,32,0.05377622146625072
