seed,best_fitness,generation,mean_fitness,std_fitness
42,-145.1119842529297,1,-66.26930236816406,41.976688385009766
42,-169.1270294189453,2,-90.11419677734375,32.29294204711914
42,-169.1270294189453,3,-109.16386413574219,25.629732131958008
42,-169.1270294189453,4,-117.44840240478516,23.196876525878906
42,-169.1270294189453,5,-130.69960021972656,18.019926071166992
42,-173.6461944580078,6,-135.63099670410156,15.838933944702148
42,-173.6461944580078,7,-142.3397979736328,14.731412887573242
42,-173.6461944580078,8,-144.4403839111328,14.314698219299316
42,-173.8969268798828,9,-144.36489868164062,16.28184700012207
42,-175.69189453125,10,-150.06211853027344,15.373104095458984
