run_id,engine,unroll,task,dim,pop_size,num_gens,cold_ms,warm_ms,compile_ms,ms_per_step
0,Standard_GA,4,sphere,50,256,200,6697.580,3.849,6693.730,0.0192
1,Standard_GA,4,sphere,50,256,200,6340.989,4.016,6336.973,0.0201
2,Standard_GA,4,sphere,50,256,200,6504.022,3.945,6500.077,0.0197
3,Standard_GA,4,sphere,50,256,200,6624.518,4.040,6620.479,0.0202
4,Standard_GA,4,sphere,50,256,200,6614.098,4.014,6610.084,0.0201
5,Standard_GA,4,sphere,50,256,200,6718.607,4.050,6714.557,0.0203
6,Standard_GA,4,sphere,50,256,200,6229.340,3.832,6225.508,0.0192
7,Standard_GA,4,sphere,50,256,200,6689.178,3.970,6685.207,0.0199
8,Standard_GA,4,sphere,50,256,200,6678.058,3.800,6674.258,0.0190
9,Standard_GA,4,sphere,50,256,200,6690.615,4.004,6686.611,0.0200
10,Standard_GA,4,sphere,50,256,200,6560.409,3.993,6556.416,0.0200
11,Standard_GA,4,sphere,50,256,200,6454.809,3.964,6450.845,0.0198
12,Standard_GA,4,sphere,50,256,200,6656.758,3.870,6652.887,0.0194
13,Standard_GA,4,sphere,50,256,200,6700.993,3.998,6696.994,0.0200
14,Standard_GA,4,sphere,50,256,200,6499.910,3.890,6496.021,0.0194
15,Standard_GA,4,sphere,50,256,200,6410.714,3.901,6406.813,0.0195
16,Standard_GA,4,sphere,50,256,200,6627.744,3.790,6623.955,0.0189
17,Standard_GA,4,sphere,50,256,200,6439.384,3.933,6435.452,0.0197
18,Standard_GA,4,sphere,50,256,200,6392.335,3.917,6388.418,0.0196
19,Standard_GA,4,sphere,50,256,200,6333.501,4.040,6329.461,0.0202
0,Standard_GA_Ablation,4,sphere,50,256,200,7830.868,5.533,7825.334,0.0277
1,Standard_GA_Ablation,4,sphere,50,256,200,8294.161,5.572,8288.588,0.0279
2,Standard_GA_Ablation,4,sphere,50,256,200,8447.538,5.519,8442.019,0.0276
3,Standard_GA_Ablation,4,sphere,50,256,200,8274.333,5.461,8268.872,0.0273
4,Standard_GA_Ablation,4,sphere,50,256,200,8312.000,5.588,8306.411,0.0279
5,Standard_GA_Ablation,4,sphere,50,256,200,8328.518,5.583,8322.935,0.0279
6,Standard_GA_Ablation,4,sphere,50,256,200,8342.253,5.550,8336.704,0.0277
7,Standard_GA_Ablation,4,sphere,50,256,200,8326.964,5.583,8321.380,0.0279
8,Standard_GA_Ablation,4,sphere,50,256,200,8093.245,5.383,8087.862,0.0269
9,Standard_GA_Ablation,4,sphere,50,256,200,8201.963,5.585,8196.378,0.0279
10,Standard_GA_Ablation,4,sphere,50,256,200,8014.788,5.545,8009.243,0.0277
11,Standard_GA_Ablation,4,sphere,50,256,200,8016.297,5.467,8010.830,0.0273
12,Standard_GA_Ablation,4,sphere,50,256,200,7990.753,5.506,7985.247,0.0275
13,Standard_GA_Ablation,4,sphere,50,256,200,8268.191,5.518,8262.673,0.0276
14,Standard_GA_Ablation,4,sphere,50,256,200,8317.559,5.630,8311.929,0.0282
15,Standard_GA_Ablation,4,sphere,50,256,200,8193.340,5.522,8187.818,0.0276
16,Standard_GA_Ablation,4,sphere,50,256,200,7879.604,5.647,7873.957,0.0282
17,Standard_GA_Ablation,4,sphere,50,256,200,8169.310,5.617,8163.692,0.0281
18,Standard_GA_Ablation,4,sphere,50,256,200,8004.660,5.485,7999.175,0.0274
19,Standard_GA_Ablation,4,sphere,50,256,200,8183.093,5.581,8177.512,0.0279
