engine,unroll,task,dim,pop_size,num_gens,n_runs,warm_mean,warm_std,warm_min,warm_max,warm_p5,warm_p50,warm_p95,warm_ci_low,warm_ci_high,warm_cv,compile_mean,compile_std
Standard_GA,4,sphere,50,256,200,20,3.941,0.082,3.790,4.050,3.800,3.954,4.041,3.903,3.979,2.07,6539.237,148.389
Standard_GA_Ablation,4,sphere,50,256,200,20,5.544,0.064,5.383,5.647,5.457,5.547,5.631,5.514,5.574,1.16,8168.928,169.834
