unroll_factor,cold_compile_ms,warm_dispatch_ms,execution_ms,total_cold_ms,total_warm_ms,steps_per_dispatch,ms_per_step
1,962.9901800304651,0.11217324063181877,0.20427443087100983,963.306627701968,0.3164476715028286,1,0.3164476715028286
2,1789.9066319223493,0.0723798293620348,0.24484330788254738,1790.223855059594,0.3172231372445822,2,0.1586115686222911
4,3630.784416059032,0.09717284701764584,0.2963440492749214,3631.1779329553246,0.39351689629256725,4,0.09837922407314181
8,7476.015271572396,0.07505440153181553,0.39862096309661865,7476.488946937025,0.4736753646284342,8,0.05920942057855427
16,15932.109046727419,0.14265486970543861,0.6353380158543587,15932.887039612979,0.7779928855597973,16,0.04862455534748733
32,32101.60242994316,0.11525866575539112,1.5142927877604961,32103.231981396675,1.6295514535158873,32,0.05092348292237148
