unroll_factor,cold_compile_ms,warm_dispatch_ms,execution_ms,total_cold_ms,total_warm_ms,steps_per_dispatch,ms_per_step
1,913.4072210174054,0.143125606700778,0.09116018190979958,913.641506806016,0.23428578861057758,1,0.23428578861057758
2,1629.081592336297,0.06430046632885933,0.2135629765689373,1629.3594557791948,0.27786344289779663,2,0.13893172144889832
4,3265.4562627431005,0.09434041567146778,0.2652909606695175,3265.8158941194415,0.3596313763409853,4,0.08990784408524632
8,6801.482964633033,0.04416764713823795,0.364476814866066,6801.891609095037,0.40864446200430393,8,0.05108055775053799
16,14873.787223547697,0.13119149953126907,0.5603008903563023,14874.478715937585,0.6914923898875713,16,0.04321827436797321
32,29966.062514763325,0.14045536518096924,1.2050820514559746,29967.408052179962,1.3455374166369438,32,0.042048044269904494
