seed,best_fitness,generation,mean_fitness
0,-180.03067016601562,1,-79.36880493164062
0,-182.6165008544922,2,-103.17156219482422
0,-183.0672607421875,3,-121.65250396728516
0,-183.0672607421875,4,-136.95025634765625
0,-183.0672607421875,5,-152.97439575195312
0,-183.6271209716797,6,-167.32032775878906
0,-184.22821044921875,7,-176.00933837890625
0,-185.5531463623047,8,-180.05218505859375
0,-185.5531463623047,9,-181.50885009765625
0,-185.5531463623047,10,-182.639404296875
0,-185.84274291992188,11,-183.42605590820312
0,-185.9114227294922,12,-184.06089782714844
0,-186.45533752441406,13,-184.51217651367188
0,-186.91336059570312,14,-184.97195434570312
0,-187.6421661376953,15,-185.4472198486328
0,-187.71253967285156,16,-185.9091033935547
0,-187.71253967285156,17,-186.24420166015625
0,-187.71253967285156,18,-186.53765869140625
0,-187.887451171875,19,-186.79299926757812
0,-187.9638214111328,20,-187.07569885253906
0,-188.2028045654297,21,-187.3015899658203
0,-188.2399139404297,22,-187.55734252929688
0,-188.77239990234375,23,-187.7854461669922
0,-188.95733642578125,24,-187.9912872314453
0,-189.26953125,25,-188.23483276367188
0,-189.77525329589844,26,-188.48362731933594
0,-189.83547973632812,27,-188.7255859375
0,-189.97195434570312,28,-188.95391845703125
0,-189.97195434570312,29,-189.19171142578125
0,-190.3249969482422,30,-189.40733337402344
0,-190.45077514648438,31,-189.54335021972656
0,-190.45077514648438,32,-189.68487548828125
0,-190.58399963378906,33,-189.85842895507812
0,-190.58399963378906,34,-190.0080108642578
0,-190.64974975585938,35,-190.1366424560547
0,-191.010498046875,36,-190.27493286132812
0,-191.2681884765625,37,-190.42173767089844
0,-191.356201171875,38,-190.56890869140625
0,-191.41148376464844,39,-190.7309112548828
0,-191.76449584960938,40,-190.8930206298828
0,-191.76449584960938,41,-191.0328826904297
0,-191.76449584960938,42,-191.1775665283203
0,-191.79832458496094,43,-191.3157196044922
0,-191.90286254882812,44,-191.42669677734375
0,-191.98374938964844,45,-191.54327392578125
0,-192.21157836914062,46,-191.66273498535156
0,-192.21603393554688,47,-191.76373291015625
0,-192.30686950683594,48,-191.8739776611328
0,-192.30686950683594,49,-191.97923278808594
0,-192.54981994628906,50,-192.0645294189453
0,-192.63479614257812,51,-192.1493682861328
0,-192.67471313476562,52,-192.2332763671875
0,-192.86648559570312,53,-192.3297882080078
0,-192.9264373779297,54,-192.4527130126953
0,-192.9264373779297,55,-192.5646514892578
0,-192.9615478515625,56,-192.6583709716797
0,-193.21783447265625,57,-192.734619140625
0,-193.26156616210938,58,-192.81956481933594
0,-193.3939208984375,59,-192.90280151367188
0,-193.3939208984375,60,-192.97230529785156
0,-193.39723205566406,61,-193.0508575439453
0,-193.47300720214844,62,-193.1375732421875
0,-193.47300720214844,63,-193.2142791748047
0,-193.50535583496094,64,-193.2880401611328
0,-193.54339599609375,65,-193.3417205810547
0,-193.55955505371094,66,-193.3935089111328
0,-193.55955505371094,67,-193.4299774169922
0,-193.58444213867188,68,-193.46798706054688
0,-193.62852478027344,69,-193.50015258789062
0,-193.6565399169922,70,-193.5251007080078
0,-193.715576171875,71,-193.55897521972656
0,-193.715576171875,72,-193.5896453857422
0,-193.73028564453125,73,-193.61581420898438
0,-193.73028564453125,74,-193.63929748535156
0,-193.77333068847656,75,-193.66465759277344
0,-193.7978057861328,76,-193.69284057617188
0,-193.80044555664062,77,-193.7135467529297
