unroll_factor,cold_compile_ms,warm_dispatch_ms,execution_ms,total_cold_ms,total_warm_ms,steps_per_dispatch,ms_per_step
1,993.6710832174867,0.07645194418728352,0.10177679359912872,993.8493119552732,0.17822873778641224,1,0.17822873778641224
2,1740.6570792663842,0.07585086859762669,0.24436088278889656,1740.9772910177708,0.32021175138652325,2,0.16010587569326162
4,3431.6948372405022,0.06440053693950176,0.2952362410724163,3432.054474018514,0.35963677801191807,4,0.08990919450297952
8,6736.062600044534,0.11095288209617138,0.42182113975286484,6736.595374066383,0.5327740218490362,8,0.06659675273112953
16,14383.522093342617,0.19636605866253376,0.7046959362924099,14384.423155337572,0.9010619949549437,16,0.05631637468468398
32,30092.678876314312,0.13072211295366287,1.8726983107626438,30094.68229673803,2.0034204237163067,32,0.06260688824113458
