seed,best_fitness,generation,mean_fitness,std_fitness
42,188.90020751953125,1,89.37334442138672,0.0
42,188.99832153320312,2,134.1961212158203,0.0
42,189.05892944335938,3,161.79800415039062,0.0
42,189.1457061767578,4,179.67791748046875,0.0
42,189.38665771484375,5,188.51409912109375,0.0
42,189.81590270996094,6,189.0879364013672,0.0
42,189.9751739501953,7,189.34280395507812,0.0
42,190.31088256835938,8,189.61865234375,0.0
42,190.31088256835938,9,189.85931396484375,0.0
42,190.86778259277344,10,190.06939697265625,0.0
43,146.08493041992188,1,80.9259033203125,0.0
43,149.87542724609375,2,109.65544128417969,0.0
43,158.5045928955078,3,131.89852905273438,0.0
43,162.8083953857422,4,144.71725463867188,0.0
43,169.6495361328125,5,150.61961364746094,0.0
43,173.75180053710938,6,158.90093994140625,0.0
43,180.7279510498047,7,167.1420440673828,0.0
43,180.7279510498047,8,170.64651489257812,0.0
43,183.27218627929688,9,176.08888244628906,0.0
43,184.88369750976562,10,178.96170043945312,0.0
44,150.8254852294922,1,87.07132720947266,0.0
44,159.13211059570312,2,115.17743682861328,0.0
44,170.23233032226562,3,136.2281494140625,0.0
44,180.22422790527344,4,149.40615844726562,0.0
44,182.42523193359375,5,163.1787567138672,0.0
44,183.97451782226562,6,171.73426818847656,0.0
44,186.4623260498047,7,179.41697692871094,0.0
44,187.85939025878906,8,182.76632690429688,0.0
44,188.72360229492188,9,185.14964294433594,0.0
44,189.2811279296875,10,186.46258544921875,0.0
