engine,unroll,task,dim,pop_size,num_gens,n_runs,warm_mean,warm_std,warm_min,warm_max,warm_p5,warm_p50,warm_p95,warm_ci_low,warm_ci_high,warm_cv,compile_mean,compile_std
Standard_GA,4,sphere,50,64,200,20,3.348,0.062,3.206,3.441,3.266,3.354,3.432,3.319,3.377,1.86,4741.591,219.815
Standard_GA_Ablation,4,sphere,50,64,200,20,5.173,0.090,4.938,5.336,5.073,5.179,5.274,5.131,5.215,1.73,6300.147,251.538
