engine,unroll,task,dim,pop_size,num_gens,n_runs,warm_mean,warm_std,warm_min,warm_max,warm_p5,warm_p50,warm_p95,warm_ci_low,warm_ci_high,warm_cv,compile_mean,compile_std
Standard_GA,1,sphere,10,32,10,3,0.432,0.029,0.415,0.465,0.415,0.416,0.460,0.361,0.503,6.60,1069.998,34.034
Standard_GA,4,sphere,10,32,10,3,0.368,0.007,0.362,0.375,0.362,0.367,0.374,0.352,0.384,1.78,5208.727,43.068
