Algorithm,Task,Dim,Pop_Size,Generations,hyperparam_mutation_rate,hyperparam_sigma,hyperparam_elite_ratio,hyperparam_crossover_rate,Mean_Fitness,Fitness_Std,Mean_GPS,Compile_Time,Mean_Exec_Time
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.5,485.3296862792969,39.35403296133339,41536.15909941592,0.9343737240124028,0.004815081710403319
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.7,485.3296862792969,39.35403296133339,41419.69088752359,0.8352173540042713,0.004828621259948704
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.8,485.3296862792969,39.35403296133339,42269.03208252908,0.8439734439889435,0.00473159639921505
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.9,485.3296862792969,39.35403296133339,42259.55788270059,0.8464452939806506,0.004732657179119997
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,1.0,485.3296862792969,39.35403296133339,42120.19472913249,0.8445340049802326,0.004748316129262093
