Algorithm,Task,Dim,Pop_Size,Generations,hyperparam_mutation_rate,hyperparam_sigma,hyperparam_elite_ratio,hyperparam_crossover_rate,Mean_Fitness,Fitness_Std,Mean_GPS,Compile_Time,Mean_Exec_Time
Malthus_BF16,schaffers_f7,50,128,200,0.9,1.0,0.6,0.8,65.97324649810791,2.68010542971034,28300.51708557599,1.3077234830125235,0.007067008683807216
Malthus_BF16,schaffers_f7,50,128,200,0.9,1.0,0.6,0.9,65.97324649810791,2.68010542971034,28273.54938516608,1.3274219979648478,0.007073749293922447
Malthus_BF16,schaffers_f7,50,128,200,1.0,0.8,0.7,0.9,65.97324649810791,2.68010542971034,28374.323133326296,1.3262875039945357,0.007048626290052198
Malthus_BF16,schaffers_f7,50,128,200,1.0,0.8,0.7,1.0,65.97324649810791,2.68010542971034,28594.85841953922,1.3102130459737964,0.0069942643906688315
Malthus_BF16,schaffers_f7,50,128,200,1.0,1.0,0.5,0.5,65.97324649810791,2.68010542971034,27525.302672337308,1.2222139590303414,0.00726604180817958
Malthus_BF16,schaffers_f7,50,128,200,1.0,1.0,0.5,0.7,65.97324649810791,2.68010542971034,27515.61595348543,1.197572806966491,0.007268599777598865
Malthus_BF16,schaffers_f7,50,128,200,1.0,1.0,0.5,0.8,65.97324649810791,2.68010542971034,27584.15935346978,1.1996951720211655,0.007250538159860298
Malthus_BF16,schaffers_f7,50,128,200,1.0,1.0,0.5,0.9,65.97324649810791,2.68010542971034,27509.818464079046,1.213327402016148,0.007270131580880843
Malthus_BF16,schaffers_f7,50,128,200,1.0,0.8,0.3,0.9,65.97324649810791,2.68010542971034,28508.24616658294,1.347629185009282,0.007015513996593654
Malthus_BF16,schaffers_f7,50,128,200,1.0,0.8,0.3,1.0,65.97324649810791,2.68010542971034,28382.908473395753,1.3251774330274202,0.007046494202222675
