Algorithm,Task,Dim,Pop_Size,Generations,hyperparam_mutation_rate,hyperparam_sigma,hyperparam_elite_ratio,hyperparam_crossover_rate,Mean_Fitness,Fitness_Std,Mean_GPS,Compile_Time,Mean_Exec_Time
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.5,485.3296862792969,39.35403296133339,40379.78129247713,1.0056873570138123,0.0049529738299315795
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.7,485.3296862792969,39.35403296133339,40337.46020881834,0.8758596649859101,0.0049581703697913326
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.8,485.3296862792969,39.35403296133339,40724.91496801611,0.8917651619995013,0.004910998590348754
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.9,485.3296862792969,39.35403296133339,40563.87254484887,0.8744046569918282,0.004930495720764157
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,1.0,485.3296862792969,39.35403296133339,40655.02902787626,0.8479115999944042,0.004919440590310842
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.5,485.3296862792969,39.35403296133339,39804.34858255943,1.0219230620132294,0.0050245766385342
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.7,485.3296862792969,39.35403296133339,39732.01232634152,1.0259882120008115,0.005033724402310326
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.8,485.3296862792969,39.35403296133339,39827.89918432516,0.9964873989811167,0.005021605560323224
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.9,485.3296862792969,39.35403296133339,40299.72679946852,1.0162678490160033,0.00496281280007679
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,1.0,485.3296862792969,39.35403296133339,39923.4590839902,1.0209277599933557,0.005009585957450327
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.5,485.3296862792969,39.35403296133339,40770.59639841358,1.0543079389899503,0.004905496060091536
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.7,485.3296862792969,39.35403296133339,40169.92053235116,1.0621938069816679,0.0049788497798726895
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.8,485.3296862792969,39.35403296133339,40120.513435316374,1.060213395016035,0.004984981070156209
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.9,485.3296862792969,39.35403296133339,40313.58599272492,1.0430470610153861,0.004961106661066878
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,1.0,485.3296862792969,39.35403296133339,40228.56518763036,1.152870954014361,0.004971591680368874
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.5,485.3296862792969,39.35403296133339,39945.926399016585,1.0272509059868753,0.005006768349849153
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.7,485.3296862792969,39.35403296133339,40346.817377718915,1.0298323509923648,0.004957020478905179
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.8,485.3296862792969,39.35403296133339,41248.806216724355,1.0267227069998626,0.004848625168669969
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.9,485.3296862792969,39.35403296133339,40561.185911806526,1.030229675990995,0.0049308222997933625
