Algorithm,Task,Dim,Pop_Size,Generations,hyperparam_mutation_rate,hyperparam_sigma,hyperparam_elite_ratio,hyperparam_crossover_rate,Mean_Fitness,Fitness_Std,Mean_GPS,Compile_Time,Mean_Exec_Time
Standard_GA_Ablation,sphere,50,128,200,0.1,0.3,0.05,0.6,268.5392700195313,39.0743562616177,12028.68282615011,1.618801679011085,0.0166269244014984
Standard_GA_Ablation,sphere,50,128,200,0.1,0.3,0.1,0.6,268.5392700195313,39.0743562616177,29708.419869834375,1.4677692099940032,0.006732098202337511
Standard_GA_Ablation,sphere,50,128,200,0.1,0.5,0.05,0.6,268.5392700195313,39.0743562616177,29867.40337281629,1.4855485089938156,0.0066962633980438115
Standard_GA_Ablation,sphere,50,128,200,0.1,0.5,0.1,0.6,268.5392700195313,39.0743562616177,12634.71017211067,1.494439906993648,0.015829409402795137
Standard_GA_Ablation,sphere,50,128,200,0.1,0.8,0.05,0.6,268.5392700195313,39.0743562616177,11772.31232196316,1.4948667330027092,0.016989015796571038
Standard_GA_Ablation,sphere,50,128,200,0.1,0.8,0.1,0.6,268.5392700195313,39.0743562616177,13634.231365837095,1.512505577004049,0.014668960400740616
Standard_GA_Ablation,sphere,50,128,200,0.3,0.3,0.05,0.6,268.5392700195313,39.0743562616177,12462.743871612129,1.4618986700079404,0.016047830402385443
Standard_GA_Ablation,sphere,50,128,200,0.3,0.3,0.1,0.6,268.5392700195313,39.0743562616177,29615.76332278059,1.5171166410000296,0.00675316039705649
Standard_GA_Ablation,sphere,50,128,200,0.3,0.5,0.05,0.6,268.5392700195313,39.0743562616177,11639.232493375564,1.562006599997403,0.017183263596962206
Standard_GA_Ablation,sphere,50,128,200,0.3,0.5,0.1,0.6,268.5392700195313,39.0743562616177,11536.276077882654,1.4951897419960005,0.017336617002729326
Standard_GA_Ablation,sphere,50,128,200,0.3,0.8,0.05,0.6,268.5392700195313,39.0743562616177,11623.543282976898,1.4882807440008037,0.017206457199063153
Standard_GA_Ablation,sphere,50,128,200,0.3,0.8,0.1,0.6,268.5392700195313,39.0743562616177,13146.693926031381,1.4796206169994548,0.01521295020065736
Standard_GA_Ablation,sphere,50,128,200,0.5,0.3,0.05,0.6,268.5392700195313,39.0743562616177,11559.319752220468,1.4947363459941698,0.01730205620115157
Standard_GA_Ablation,sphere,50,128,200,0.5,0.3,0.1,0.6,268.5392700195313,39.0743562616177,11574.863011556417,1.5515930760011543,0.017278822202933954
Standard_GA_Ablation,sphere,50,128,200,0.5,0.5,0.05,0.6,268.5392700195313,39.0743562616177,11557.943520966144,1.4764301840041298,0.017304116397281178
Standard_GA_Ablation,sphere,50,128,200,0.5,0.5,0.1,0.6,268.5392700195313,39.0743562616177,13052.089176102476,1.4625171340012457,0.015323217402328736
Standard_GA_Ablation,sphere,50,128,200,0.5,0.8,0.05,0.6,268.5392700195313,39.0743562616177,11498.378677107685,1.4786393699905602,0.01739375659963116
Standard_GA_Ablation,sphere,50,128,200,0.5,0.8,0.1,0.6,268.5392700195313,39.0743562616177,11620.588571072638,1.4375116269948194,0.01721083220327273
Malthus_BF16,sphere,50,128,200,0.1,0.3,0.05,0.6,307.2088897705078,42.502306817426216,15236.248078918312,1.0877106280095177,0.013126591203035786
Malthus_BF16,sphere,50,128,200,0.1,0.3,0.1,0.6,307.2088897705078,42.502306817426216,15232.236543120851,0.9957300039968686,0.013130048199673183
Malthus_BF16,sphere,50,128,200,0.1,0.5,0.05,0.6,307.2088897705078,42.502306817426216,15304.028139647071,1.0176422819931759,0.01306845479994081
Malthus_BF16,sphere,50,128,200,0.1,0.5,0.1,0.6,307.2088897705078,42.502306817426216,15329.981447670003,0.9453038719948381,0.013046330204815604
Malthus_BF16,sphere,50,128,200,0.1,0.8,0.05,0.6,307.2088897705078,42.502306817426216,15253.273434781808,0.9996226299990667,0.01311193960136734
Malthus_BF16,sphere,50,128,200,0.1,0.8,0.1,0.6,307.2088897705078,42.502306817426216,39351.90869614692,0.9616410410089884,0.005082345599657856
Malthus_BF16,sphere,50,128,200,0.3,0.3,0.05,0.6,307.2088897705078,42.502306817426216,39956.43950682408,1.114682432002155,0.005005450997850857
Malthus_BF16,sphere,50,128,200,0.3,0.3,0.1,0.6,307.2088897705078,42.502306817426216,39388.475040128586,0.9627860359905753,0.005077627397258766
Malthus_BF16,sphere,50,128,200,0.3,0.5,0.05,0.6,307.2088897705078,42.502306817426216,39929.833669622625,1.0033575420093257,0.005008786203688942
Malthus_BF16,sphere,50,128,200,0.3,0.5,0.1,0.6,307.2088897705078,42.502306817426216,39699.27478855342,0.9750499090005178,0.005037875403650105
Malthus_BF16,sphere,50,128,200,0.3,0.8,0.05,0.6,307.2088897705078,42.502306817426216,38964.09434201242,0.989147428990691,0.005132930801482871
Malthus_BF16,sphere,50,128,200,0.3,0.8,0.1,0.6,307.2088897705078,42.502306817426216,40176.826256483655,0.9759086970007047,0.004977993998909369
Malthus_BF16,sphere,50,128,200,0.5,0.3,0.05,0.6,307.2088897705078,42.502306817426216,40480.216802193565,1.0037927880039206,0.004940685001201928
