seed,best_fitness,generation,mean_fitness,std_fitness
42,188.90020751953125,1,67.1929702758789,0.0
42,188.90020751953125,2,111.3041000366211,0.0
42,188.90020751953125,3,146.22691345214844,0.0
42,189.3134765625,4,170.80772399902344,0.0
42,190.77391052246094,5,185.16021728515625,0.0
42,192.07138061523438,6,188.773193359375,0.0
42,192.07138061523438,7,189.875244140625,0.0
42,192.2998046875,8,191.09689331054688,0.0
42,192.45352172851562,9,191.6208953857422,0.0
42,192.47731018066406,10,192.0388641357422,0.0
42,192.7117919921875,11,192.24267578125,0.0
42,192.7476043701172,12,192.4661102294922,0.0
42,192.91787719726562,13,192.5966796875,0.0
42,193.1508331298828,14,192.68687438964844,0.0
42,193.24166870117188,15,192.8101348876953,0.0
42,193.36822509765625,16,192.9024200439453,0.0
42,193.42874145507812,17,193.0398712158203,0.0
42,193.55335998535156,18,193.14588928222656,0.0
42,193.55369567871094,19,193.28390502929688,0.0
42,193.55369567871094,20,193.34788513183594,0.0
42,193.557373046875,21,193.4220733642578,0.0
42,193.6966094970703,22,193.52198791503906,0.0
42,193.72227478027344,23,193.5759735107422,0.0
42,193.7451171875,24,193.60755920410156,0.0
42,193.75634765625,25,193.677490234375,0.0
42,193.79344177246094,26,193.71011352539062,0.0
42,193.79344177246094,27,193.73265075683594,0.0
42,193.80137634277344,28,193.74856567382812,0.0
42,193.82162475585938,29,193.76412963867188,0.0
42,193.82162475585938,30,193.7860107421875,0.0
42,193.84503173828125,31,193.809326171875,0.0
42,193.849609375,32,193.81480407714844,0.0
42,193.849609375,33,193.81796264648438,0.0
42,193.849609375,34,193.82302856445312,0.0
42,193.85089111328125,35,193.82875061035156,0.0
42,193.8509063720703,36,193.8319549560547,0.0
42,193.8509063720703,37,193.83726501464844,0.0
42,193.8529815673828,38,193.83253479003906,0.0
42,193.85316467285156,39,193.82972717285156,0.0
42,193.85374450683594,40,193.84007263183594,0.0
42,193.85374450683594,41,193.83338928222656,0.0
42,193.8539581298828,42,193.8369140625,0.0
42,193.85426330566406,43,193.8328399658203,0.0
42,193.8546600341797,44,193.83944702148438,0.0
42,193.8546600341797,45,193.8401336669922,0.0
42,193.8546600341797,46,193.8456573486328,0.0
42,193.8546600341797,47,193.84332275390625,0.0
42,193.85494995117188,48,193.84405517578125,0.0
42,193.85494995117188,49,193.8426513671875,0.0
42,193.85508728027344,50,193.8411407470703,0.0
