run_id,engine,unroll,task,dim,pop_size,num_gens,cold_ms,warm_ms,compile_ms,ms_per_step
0,Standard_GA,4,sphere,50,128,200,3689.016,3.520,3685.495,0.0176
1,Standard_GA,4,sphere,50,128,200,3500.591,3.683,3496.908,0.0184
2,Standard_GA,4,sphere,50,128,200,3499.756,3.775,3495.982,0.0189
3,Standard_GA,4,sphere,50,128,200,3663.330,3.705,3659.626,0.0185
4,Standard_GA,4,sphere,50,128,200,3640.778,3.606,3637.172,0.0180
5,Standard_GA,4,sphere,50,128,200,3618.563,3.586,3614.977,0.0179
6,Standard_GA,4,sphere,50,128,200,3621.717,3.548,3618.169,0.0177
7,Standard_GA,4,sphere,50,128,200,3574.746,3.642,3571.104,0.0182
8,Standard_GA,4,sphere,50,128,200,3639.597,3.658,3635.939,0.0183
9,Standard_GA,4,sphere,50,128,200,3669.513,3.716,3665.797,0.0186
10,Standard_GA,4,sphere,50,128,200,3649.044,3.677,3645.367,0.0184
11,Standard_GA,4,sphere,50,128,200,3659.387,3.762,3655.626,0.0188
12,Standard_GA,4,sphere,50,128,200,3573.300,3.544,3569.757,0.0177
13,Standard_GA,4,sphere,50,128,200,3642.017,3.672,3638.345,0.0184
14,Standard_GA,4,sphere,50,128,200,3683.479,3.744,3679.735,0.0187
15,Standard_GA,4,sphere,50,128,200,3604.654,3.742,3600.912,0.0187
16,Standard_GA,4,sphere,50,128,200,3524.696,3.636,3521.060,0.0182
17,Standard_GA,4,sphere,50,128,200,3599.596,3.644,3595.952,0.0182
18,Standard_GA,4,sphere,50,128,200,3576.681,3.726,3572.955,0.0186
19,Standard_GA,4,sphere,50,128,200,3572.451,3.682,3568.770,0.0184
0,Standard_GA_Ablation,4,sphere,50,128,200,5301.420,5.351,5296.068,0.0268
1,Standard_GA_Ablation,4,sphere,50,128,200,5195.752,5.155,5190.597,0.0258
2,Standard_GA_Ablation,4,sphere,50,128,200,5260.057,5.344,5254.714,0.0267
3,Standard_GA_Ablation,4,sphere,50,128,200,5175.948,5.272,5170.676,0.0264
4,Standard_GA_Ablation,4,sphere,50,128,200,5231.468,5.327,5226.141,0.0266
5,Standard_GA_Ablation,4,sphere,50,128,200,5275.971,5.285,5270.686,0.0264
6,Standard_GA_Ablation,4,sphere,50,128,200,5426.739,5.348,5421.391,0.0267
7,Standard_GA_Ablation,4,sphere,50,128,200,5491.761,5.298,5486.463,0.0265
8,Standard_GA_Ablation,4,sphere,50,128,200,5301.268,5.329,5295.938,0.0266
9,Standard_GA_Ablation,4,sphere,50,128,200,5347.913,5.318,5342.595,0.0266
10,Standard_GA_Ablation,4,sphere,50,128,200,5191.525,5.341,5186.185,0.0267
11,Standard_GA_Ablation,4,sphere,50,128,200,5314.735,5.272,5309.462,0.0264
12,Standard_GA_Ablation,4,sphere,50,128,200,5401.521,5.422,5396.098,0.0271
13,Standard_GA_Ablation,4,sphere,50,128,200,5335.892,5.284,5330.609,0.0264
14,Standard_GA_Ablation,4,sphere,50,128,200,5213.902,5.332,5208.570,0.0267
15,Standard_GA_Ablation,4,sphere,50,128,200,5417.664,5.232,5412.433,0.0262
16,Standard_GA_Ablation,4,sphere,50,128,200,5271.090,5.347,5265.744,0.0267
17,Standard_GA_Ablation,4,sphere,50,128,200,5296.856,5.166,5291.690,0.0258
18,Standard_GA_Ablation,4,sphere,50,128,200,5353.343,5.169,5348.175,0.0258
19,Standard_GA_Ablation,4,sphere,50,128,200,5231.926,5.227,5226.699,0.0261
