unroll_factor,cold_compile_ms,warm_dispatch_ms,execution_ms,total_cold_ms,total_warm_ms,steps_per_dispatch,ms_per_step
1,931.5473813097924,0.05729743279516697,0.2039964310824871,931.80867517367,0.2612938638776541,1,0.2612938638776541
2,1558.1526985857636,0.08916514925658703,0.21383212879300117,1558.4556958638132,0.3029972780495882,2,0.1514986390247941
4,3203.3617358654737,0.08218018338084221,0.2706460654735565,3203.714562114328,0.3528262488543987,4,0.08820656221359968
8,6816.627886239439,0.08499985560774803,0.3480580635368824,6817.060944158584,0.43305791914463043,8,0.054132239893078804
16,14420.186089770868,0.13619107194244862,0.5305008962750435,14420.852781739086,0.6666919682174921,16,0.041668248013593256
32,29579.37463251874,0.07403343915939331,1.253914088010788,29580.70258004591,1.3279475271701813,32,0.041498360224068165
