seed,best_fitness,generation,mean_fitness,std_fitness
42,-145.1119842529297,1,-66.26930236816406,41.9766845703125
42,-169.1270294189453,2,-90.11419677734375,32.29294204711914
42,-169.1270294189453,3,-109.16387176513672,25.629730224609375
42,-169.1270294189453,4,-117.44840240478516,23.196876525878906
42,-169.1270294189453,5,-130.69960021972656,18.01992416381836
42,-173.6461944580078,6,-135.63096618652344,15.838934898376465
42,-173.6461944580078,7,-142.33981323242188,14.731412887573242
42,-173.6461944580078,8,-144.4403839111328,14.314698219299316
42,-173.8969268798828,9,-144.3649139404297,16.281845092773438
42,-175.69189453125,10,-150.06211853027344,15.373103141784668
42,-176.08749389648438,11,-150.74745178222656,13.228617668151855
42,-178.26174926757812,12,-150.35983276367188,16.673154830932617
42,-179.48052978515625,13,-153.67916870117188,12.073625564575195
42,-179.48052978515625,14,-151.84970092773438,13.280843734741211
42,-179.48052978515625,15,-151.89012145996094,13.46948528289795
42,-179.48052978515625,16,-150.84939575195312,13.437259674072266
42,-179.48052978515625,17,-151.37661743164062,14.115865707397461
42,-179.48052978515625,18,-150.87432861328125,14.345675468444824
42,-179.48052978515625,19,-151.26966857910156,11.799274444580078
42,-179.48052978515625,20,-153.78245544433594,11.403714179992676
42,-179.48052978515625,21,-153.92469787597656,13.475998878479004
42,-179.48052978515625,22,-149.83448791503906,13.398091316223145
42,-179.48052978515625,23,-151.21432495117188,12.753804206848145
42,-184.43736267089844,24,-154.25071716308594,10.424951553344727
42,-184.43736267089844,25,-152.34385681152344,15.210344314575195
42,-184.43736267089844,26,-154.11968994140625,13.837910652160645
42,-184.43736267089844,27,-157.975830078125,11.250774383544922
42,-184.43736267089844,28,-156.20228576660156,12.348443031311035
42,-184.43736267089844,29,-157.41183471679688,12.403595924377441
42,-184.43736267089844,30,-158.77207946777344,11.713546752929688
42,-184.43736267089844,31,-159.14109802246094,11.037014961242676
42,-184.43736267089844,32,-156.24444580078125,10.230246543884277
42,-184.43736267089844,33,-151.72589111328125,12.641039848327637
42,-184.43736267089844,34,-153.62271118164062,15.214761734008789
42,-184.43736267089844,35,-156.81239318847656,14.243650436401367
42,-184.49595642089844,36,-160.1578826904297,14.568642616271973
42,-184.49595642089844,37,-162.9069061279297,12.519993782043457
42,-185.91949462890625,38,-166.7428436279297,10.597981452941895
42,-185.91949462890625,39,-165.69723510742188,10.897239685058594
42,-185.91949462890625,40,-162.32379150390625,10.98521900177002
42,-185.91949462890625,41,-162.290771484375,12.875535011291504
42,-185.91949462890625,42,-163.4411163330078,7.945826053619385
42,-185.91949462890625,43,-159.21177673339844,12.05617904663086
42,-185.91949462890625,44,-158.37704467773438,11.932144165039062
42,-185.91949462890625,45,-157.18312072753906,11.920348167419434
42,-185.91949462890625,46,-154.60787963867188,12.687341690063477
42,-186.47528076171875,47,-159.94688415527344,12.74133014678955
42,-186.47528076171875,48,-158.81716918945312,10.73888874053955
42,-186.47528076171875,49,-158.67520141601562,16.36459732055664
42,-189.7076416015625,50,-160.0023651123047,13.317970275878906
42,-189.7076416015625,51,-159.44967651367188,13.814777374267578
42,-189.7076416015625,52,-160.44979858398438,10.5967435836792
42,-189.7076416015625,53,-161.80894470214844,11.726506233215332
42,-189.7076416015625,54,-160.64572143554688,10.751778602600098
42,-189.7076416015625,55,-159.58599853515625,9.235898971557617
42,-189.7076416015625,56,-155.9700469970703,11.174036979675293
42,-189.7076416015625,57,-156.03858947753906,12.206275939941406
42,-189.7076416015625,58,-155.03839111328125,11.962860107421875
42,-189.7076416015625,59,-152.11708068847656,14.345112800598145
42,-189.7076416015625,60,-154.77020263671875,12.446784973144531
42,-189.7076416015625,61,-148.96148681640625,14.081636428833008
42,-189.7076416015625,62,-152.89950561523438,13.325111389160156
42,-189.7076416015625,63,-151.05172729492188,13.18812084197998
42,-189.7076416015625,64,-152.54653930664062,12.623493194580078
42,-189.7076416015625,65,-153.32382202148438,12.906472206115723
42,-189.7076416015625,66,-154.3112030029297,13.792840957641602
42,-189.7076416015625,67,-158.6918487548828,11.193607330322266
42,-189.7076416015625,68,-157.36424255371094,13.424545288085938
42,-189.7076416015625,69,-162.45285034179688,12.794941902160645
42,-189.7076416015625,70,-162.2484588623047,12.294672966003418
42,-189.7076416015625,71,-161.700927734375,13.586217880249023
42,-189.7076416015625,72,-160.96719360351562,13.405820846557617
42,-189.7076416015625,73,-162.09095764160156,11.465847969055176
42,-189.7076416015625,74,-159.5854949951172,10.8518705368042
42,-189.7076416015625,75,-157.2018585205078,11.88447093963623
42,-189.7076416015625,76,-159.7901611328125,10.780291557312012
42,-189.7076416015625,77,-157.912353515625,12.046881675720215
42,-189.7076416015625,78,-157.7945556640625,13.395675659179688
42,-189.7076416015625,79,-162.75650024414062,10.961872100830078
42,-189.7076416015625,80,-162.66159057617188,10.335453033447266
42,-189.7076416015625,81,-158.24879455566406,13.302347183227539
42,-189.7076416015625,82,-159.28857421875,13.07026481628418
42,-189.7076416015625,83,-155.9342803955078,11.50649356842041
42,-189.7076416015625,84,-154.36903381347656,13.830074310302734
42,-189.7076416015625,85,-155.87310791015625,12.172608375549316
42,-189.7076416015625,86,-154.27719116210938,13.368922233581543
42,-189.7076416015625,87,-153.8632049560547,13.207980155944824
42,-189.7076416015625,88,-155.50711059570312,13.554435729980469
42,-189.7076416015625,89,-158.33831787109375,10.283263206481934
42,-189.7076416015625,90,-155.9988555908203,12.063027381896973
42,-189.7076416015625,91,-156.2189483642578,11.71422004699707
42,-189.7076416015625,92,-156.61624145507812,11.176433563232422
42,-189.7076416015625,93,-155.0682830810547,14.235339164733887
42,-189.7076416015625,94,-157.23150634765625,14.590378761291504
42,-189.7076416015625,95,-159.662841796875,15.136282920837402
42,-189.7076416015625,96,-158.6442108154297,11.834488868713379
42,-189.7076416015625,97,-160.16378784179688,13.130407333374023
42,-189.7076416015625,98,-158.89698791503906,13.086626052856445
42,-189.7076416015625,99,-159.65562438964844,11.278064727783203
42,-189.7076416015625,100,-159.94357299804688,10.37895393371582
43,-145.86480712890625,1,-68.0323715209961,45.43806838989258
43,-151.21360778808594,2,-94.7070083618164,29.53205108642578
43,-155.353515625,3,-106.5124282836914,23.590412139892578
43,-167.30613708496094,4,-115.51677703857422,23.78635597229004
43,-167.30613708496094,5,-126.33949279785156,19.51104164123535
43,-167.30613708496094,6,-131.10484313964844,17.819900512695312
43,-169.19134521484375,7,-133.18624877929688,18.124454498291016
43,-169.19134521484375,8,-136.64752197265625,16.59489631652832
43,-172.0280303955078,9,-141.6555633544922,14.426576614379883
43,-178.92465209960938,10,-140.39894104003906,16.858015060424805
43,-188.1305694580078,11,-144.64732360839844,16.765445709228516
43,-188.1305694580078,12,-142.53689575195312,17.29508399963379
43,-188.1305694580078,13,-147.046142578125,14.587260246276855
43,-188.1305694580078,14,-152.372314453125,15.707276344299316
43,-188.1305694580078,15,-154.7185516357422,13.255674362182617
43,-188.1305694580078,16,-157.185302734375,11.607812881469727
43,-188.1305694580078,17,-158.82080078125,12.278860092163086
43,-188.1305694580078,18,-160.83010864257812,13.937423706054688
43,-188.1305694580078,19,-161.78819274902344,11.274056434631348
43,-188.1305694580078,20,-162.23890686035156,13.17434310913086
43,-189.5228271484375,21,-162.4200897216797,13.365222930908203
43,-189.5228271484375,22,-164.56370544433594,11.430126190185547
43,-189.5228271484375,23,-163.97586059570312,13.63291072845459
43,-189.5228271484375,24,-164.2569122314453,13.129222869873047
43,-189.5228271484375,25,-166.53988647460938,11.253098487854004
43,-189.5228271484375,26,-164.3425750732422,9.484485626220703
43,-189.5228271484375,27,-163.33602905273438,9.84555435180664
43,-189.5228271484375,28,-164.60484313964844,10.63985824584961
43,-189.5228271484375,29,-161.5711212158203,14.180957794189453
43,-189.5228271484375,30,-161.91653442382812,12.657573699951172
43,-189.5228271484375,31,-162.20999145507812,14.581114768981934
43,-189.5228271484375,32,-165.01820373535156,11.683052062988281
43,-189.5228271484375,33,-161.36907958984375,13.742874145507812
43,-189.5228271484375,34,-158.54638671875,13.814462661743164
43,-189.5228271484375,35,-159.58734130859375,14.191182136535645
43,-189.5228271484375,36,-162.88580322265625,11.699457168579102
43,-189.5228271484375,37,-164.1242218017578,12.085334777832031
