seed,best_fitness,generation,mean_fitness,std_fitness
42,161.17379760742188,1,73.39603424072266,0.0
42,166.5381317138672,2,117.54074096679688,0.0
42,171.50985717773438,3,137.48118591308594,0.0
42,176.32089233398438,4,154.00938415527344,0.0
42,180.8260040283203,5,163.79019165039062,0.0
42,185.95510864257812,6,169.9612274169922,0.0
42,185.95510864257812,7,176.24945068359375,0.0
42,188.64395141601562,8,180.14041137695312,0.0
42,190.52076721191406,9,183.1746368408203,0.0
42,190.52076721191406,10,186.42105102539062,0.0
42,191.66578674316406,11,188.3842010498047,0.0
42,192.063232421875,12,190.1052703857422,0.0
42,192.73313903808594,13,190.82772827148438,0.0
42,192.7890167236328,14,191.4213104248047,0.0
42,192.84384155273438,15,192.05596923828125,0.0
42,192.95022583007812,16,192.4643096923828,0.0
42,193.05030822753906,17,192.65647888183594,0.0
42,193.1993408203125,18,192.832275390625,0.0
42,193.32666015625,19,192.98020935058594,0.0
42,193.42330932617188,20,193.08645629882812,0.0
42,193.4545135498047,21,193.20437622070312,0.0
42,193.58316040039062,22,193.3222198486328,0.0
42,193.6004638671875,23,193.39285278320312,0.0
42,193.61207580566406,24,193.47422790527344,0.0
42,193.63014221191406,25,193.5360565185547,0.0
42,193.64840698242188,26,193.5653839111328,0.0
42,193.66595458984375,27,193.58444213867188,0.0
42,193.69406127929688,28,193.62147521972656,0.0
42,193.71701049804688,29,193.64218139648438,0.0
42,193.7466583251953,30,193.67526245117188,0.0
42,193.82826232910156,31,193.70245361328125,0.0
42,193.82826232910156,32,193.7451171875,0.0
42,193.83978271484375,33,193.77691650390625,0.0
42,193.83978271484375,34,193.78982543945312,0.0
42,193.84371948242188,35,193.80702209472656,0.0
42,193.84371948242188,36,193.81277465820312,0.0
42,193.8474578857422,37,193.81851196289062,0.0
42,193.84951782226562,38,193.81948852539062,0.0
42,193.84951782226562,39,193.83059692382812,0.0
42,193.84983825683594,40,193.83372497558594,0.0
42,193.8516845703125,41,193.83694458007812,0.0
42,193.85409545898438,42,193.8367462158203,0.0
42,193.85414123535156,43,193.841552734375,0.0
42,193.85414123535156,44,193.84071350097656,0.0
42,193.85414123535156,45,193.8396453857422,0.0
42,193.85494995117188,46,193.8417510986328,0.0
42,193.85498046875,47,193.84054565429688,0.0
42,193.85589599609375,48,193.8445587158203,0.0
42,193.85589599609375,49,193.8428497314453,0.0
42,193.8561248779297,50,193.84780883789062,0.0
