run_id,engine,unroll,task,dim,pop_size,num_gens,cold_ms,warm_ms,compile_ms,ms_per_step
0,Standard_GA,1,sphere,50,64,50,1006.749,1.169,1005.579,0.0234
1,Standard_GA,1,sphere,50,64,50,1004.864,1.209,1003.656,0.0242
2,Standard_GA,1,sphere,50,64,50,1022.679,1.292,1021.386,0.0258
3,Standard_GA,1,sphere,50,64,50,1012.024,1.242,1010.782,0.0248
4,Standard_GA,1,sphere,50,64,50,1000.662,1.226,999.436,0.0245
5,Standard_GA,1,sphere,50,64,50,1006.477,1.288,1005.189,0.0258
6,Standard_GA,1,sphere,50,64,50,1022.052,1.254,1020.798,0.0251
7,Standard_GA,1,sphere,50,64,50,1014.821,1.059,1013.762,0.0212
8,Standard_GA,1,sphere,50,64,50,1059.187,1.239,1057.948,0.0248
9,Standard_GA,1,sphere,50,64,50,992.816,1.223,991.594,0.0245
10,Standard_GA,1,sphere,50,64,50,1047.019,1.168,1045.851,0.0234
11,Standard_GA,1,sphere,50,64,50,1003.682,1.315,1002.367,0.0263
12,Standard_GA,1,sphere,50,64,50,976.451,1.210,975.241,0.0242
13,Standard_GA,1,sphere,50,64,50,1085.965,1.244,1084.721,0.0249
14,Standard_GA,1,sphere,50,64,50,986.632,1.319,985.313,0.0264
15,Standard_GA,1,sphere,50,64,50,996.668,1.132,995.536,0.0226
16,Standard_GA,1,sphere,50,64,50,1024.111,1.260,1022.851,0.0252
17,Standard_GA,1,sphere,50,64,50,1004.007,1.233,1002.773,0.0247
18,Standard_GA,1,sphere,50,64,50,996.075,1.271,994.804,0.0254
19,Standard_GA,1,sphere,50,64,50,995.857,1.207,994.650,0.0241
20,Standard_GA,1,sphere,50,64,50,996.344,1.356,994.988,0.0271
21,Standard_GA,1,sphere,50,64,50,987.350,1.160,986.190,0.0232
22,Standard_GA,1,sphere,50,64,50,994.808,1.312,993.496,0.0262
23,Standard_GA,1,sphere,50,64,50,977.228,1.329,975.899,0.0266
24,Standard_GA,1,sphere,50,64,50,975.292,1.249,974.043,0.0250
25,Standard_GA,1,sphere,50,64,50,976.627,1.201,975.426,0.0240
26,Standard_GA,1,sphere,50,64,50,983.270,0.991,982.280,0.0198
27,Standard_GA,1,sphere,50,64,50,979.640,1.133,978.508,0.0227
28,Standard_GA,1,sphere,50,64,50,1006.630,1.271,1005.359,0.0254
29,Standard_GA,1,sphere,50,64,50,989.314,1.291,988.024,0.0258
0,Standard_GA,4,sphere,50,64,50,6236.637,0.840,6235.797,0.0168
1,Standard_GA,4,sphere,50,64,50,6185.669,0.900,6184.769,0.0180
2,Standard_GA,4,sphere,50,64,50,6077.912,0.822,6077.090,0.0164
3,Standard_GA,4,sphere,50,64,50,6816.856,0.892,6815.964,0.0178
4,Standard_GA,4,sphere,50,64,50,6212.131,0.915,6211.216,0.0183
5,Standard_GA,4,sphere,50,64,50,6100.716,0.866,6099.850,0.0173
6,Standard_GA,4,sphere,50,64,50,6677.844,0.880,6676.964,0.0176
7,Standard_GA,4,sphere,50,64,50,5850.194,0.841,5849.353,0.0168
8,Standard_GA,4,sphere,50,64,50,6435.959,0.851,6435.108,0.0170
9,Standard_GA,4,sphere,50,64,50,6041.038,0.861,6040.177,0.0172
10,Standard_GA,4,sphere,50,64,50,5920.256,0.902,5919.354,0.0180
11,Standard_GA,4,sphere,50,64,50,6492.433,0.917,6491.516,0.0183
12,Standard_GA,4,sphere,50,64,50,6365.038,0.926,6364.112,0.0185
13,Standard_GA,4,sphere,50,64,50,6125.387,0.896,6124.492,0.0179
14,Standard_GA,4,sphere,50,64,50,6163.460,0.853,6162.606,0.0171
15,Standard_GA,4,sphere,50,64,50,6629.692,0.840,6628.853,0.0168
16,Standard_GA,4,sphere,50,64,50,5860.739,0.874,5859.864,0.0175
17,Standard_GA,4,sphere,50,64,50,6355.584,0.821,6354.764,0.0164
18,Standard_GA,4,sphere,50,64,50,6619.949,0.898,6619.051,0.0180
19,Standard_GA,4,sphere,50,64,50,6146.565,0.917,6145.648,0.0183
20,Standard_GA,4,sphere,50,64,50,6497.872,0.902,6496.971,0.0180
21,Standard_GA,4,sphere,50,64,50,6451.884,0.820,6451.064,0.0164
22,Standard_GA,4,sphere,50,64,50,6544.201,0.885,6543.316,0.0177
23,Standard_GA,4,sphere,50,64,50,5852.787,0.938,5851.848,0.0188
24,Standard_GA,4,sphere,50,64,50,6280.294,0.800,6279.494,0.0160
25,Standard_GA,4,sphere,50,64,50,6577.496,0.860,6576.636,0.0172
26,Standard_GA,4,sphere,50,64,50,6345.804,0.876,6344.928,0.0175
27,Standard_GA,4,sphere,50,64,50,6462.517,0.868,6461.648,0.0174
28,Standard_GA,4,sphere,50,64,50,6365.357,0.896,6364.461,0.0179
29,Standard_GA,4,sphere,50,64,50,6273.862,0.796,6273.066,0.0159
0,Standard_GA,8,sphere,50,64,50,11214.531,0.867,11213.664,0.0173
1,Standard_GA,8,sphere,50,64,50,11174.142,0.847,11173.295,0.0169
2,Standard_GA,8,sphere,50,64,50,11130.570,0.977,11129.593,0.0195
3,Standard_GA,8,sphere,50,64,50,11617.379,0.922,11616.457,0.0184
4,Standard_GA,8,sphere,50,64,50,11757.000,0.934,11756.066,0.0187
5,Standard_GA,8,sphere,50,64,50,11619.829,0.851,11618.978,0.0170
6,Standard_GA,8,sphere,50,64,50,11614.029,0.929,11613.100,0.0186
7,Standard_GA,8,sphere,50,64,50,10913.322,0.892,10912.430,0.0178
8,Standard_GA,8,sphere,50,64,50,11337.764,0.879,11336.885,0.0176
9,Standard_GA,8,sphere,50,64,50,11880.716,0.877,11879.839,0.0175
10,Standard_GA,8,sphere,50,64,50,11022.505,0.888,11021.617,0.0178
11,Standard_GA,8,sphere,50,64,50,11133.289,0.861,11132.428,0.0172
12,Standard_GA,8,sphere,50,64,50,10689.243,0.938,10688.304,0.0188
13,Standard_GA,8,sphere,50,64,50,11333.033,0.909,11332.124,0.0182
14,Standard_GA,8,sphere,50,64,50,10272.411,0.879,10271.532,0.0176
15,Standard_GA,8,sphere,50,64,50,11625.537,0.922,11624.615,0.0184
16,Standard_GA,8,sphere,50,64,50,11530.293,0.985,11529.308,0.0197
17,Standard_GA,8,sphere,50,64,50,11759.410,0.886,11758.525,0.0177
18,Standard_GA,8,sphere,50,64,50,11348.490,0.993,11347.496,0.0199
19,Standard_GA,8,sphere,50,64,50,11447.238,0.918,11446.320,0.0184
20,Standard_GA,8,sphere,50,64,50,10744.916,0.870,10744.045,0.0174
21,Standard_GA,8,sphere,50,64,50,10696.738,0.872,10695.867,0.0174
22,Standard_GA,8,sphere,50,64,50,11042.350,0.977,11041.372,0.0195
23,Standard_GA,8,sphere,50,64,50,10717.642,0.893,10716.749,0.0179
24,Standard_GA,8,sphere,50,64,50,11177.612,0.890,11176.722,0.0178
25,Standard_GA,8,sphere,50,64,50,11059.448,0.941,11058.507,0.0188
26,Standard_GA,8,sphere,50,64,50,10150.158,0.935,10149.223,0.0187
27,Standard_GA,8,sphere,50,64,50,10277.588,0.901,10276.687,0.0180
28,Standard_GA,8,sphere,50,64,50,11756.363,0.961,11755.403,0.0192
29,Standard_GA,8,sphere,50,64,50,11057.618,0.857,11056.761,0.0171
