run_id,engine,unroll,task,dim,pop_size,num_gens,cold_ms,warm_ms,compile_ms,ms_per_step
0,Standard_GA,4,sphere,50,32,200,3313.202,3.709,3309.493,0.0185
1,Standard_GA,4,sphere,50,32,200,3260.895,3.664,3257.231,0.0183
2,Standard_GA,4,sphere,50,32,200,3358.279,3.841,3354.438,0.0192
3,Standard_GA,4,sphere,50,32,200,3226.707,3.714,3222.994,0.0186
4,Standard_GA,4,sphere,50,32,200,3342.612,3.644,3338.968,0.0182
5,Standard_GA,4,sphere,50,32,200,3452.755,3.635,3449.120,0.0182
6,Standard_GA,4,sphere,50,32,200,3373.884,3.757,3370.127,0.0188
7,Standard_GA,4,sphere,50,32,200,3384.023,3.754,3380.269,0.0188
8,Standard_GA,4,sphere,50,32,200,3303.278,3.977,3299.301,0.0199
9,Standard_GA,4,sphere,50,32,200,3384.789,3.643,3381.146,0.0182
10,Standard_GA,4,sphere,50,32,200,3391.572,3.653,3387.919,0.0183
11,Standard_GA,4,sphere,50,32,200,3411.502,3.680,3407.822,0.0184
12,Standard_GA,4,sphere,50,32,200,3338.673,3.601,3335.072,0.0180
13,Standard_GA,4,sphere,50,32,200,3377.877,3.555,3374.322,0.0178
14,Standard_GA,4,sphere,50,32,200,3451.075,3.714,3447.360,0.0186
15,Standard_GA,4,sphere,50,32,200,3296.082,3.661,3292.420,0.0183
16,Standard_GA,4,sphere,50,32,200,3410.833,3.585,3407.249,0.0179
17,Standard_GA,4,sphere,50,32,200,3337.827,3.658,3334.170,0.0183
18,Standard_GA,4,sphere,50,32,200,3318.168,3.640,3314.528,0.0182
19,Standard_GA,4,sphere,50,32,200,3299.679,3.665,3296.014,0.0183
0,Standard_GA_Ablation,4,sphere,50,32,200,5388.560,4.418,5384.142,0.0221
1,Standard_GA_Ablation,4,sphere,50,32,200,5414.776,4.375,5410.401,0.0219
2,Standard_GA_Ablation,4,sphere,50,32,200,5342.487,4.487,5338.000,0.0224
3,Standard_GA_Ablation,4,sphere,50,32,200,5420.752,4.473,5416.279,0.0224
4,Standard_GA_Ablation,4,sphere,50,32,200,5325.304,4.600,5320.704,0.0230
5,Standard_GA_Ablation,4,sphere,50,32,200,5348.892,4.579,5344.313,0.0229
6,Standard_GA_Ablation,4,sphere,50,32,200,5442.431,4.651,5437.780,0.0233
7,Standard_GA_Ablation,4,sphere,50,32,200,5456.990,4.646,5452.345,0.0232
8,Standard_GA_Ablation,4,sphere,50,32,200,5435.006,4.618,5430.388,0.0231
9,Standard_GA_Ablation,4,sphere,50,32,200,5400.496,4.464,5396.032,0.0223
10,Standard_GA_Ablation,4,sphere,50,32,200,5485.762,4.356,5481.406,0.0218
11,Standard_GA_Ablation,4,sphere,50,32,200,5344.778,4.332,5340.445,0.0217
12,Standard_GA_Ablation,4,sphere,50,32,200,5263.888,4.517,5259.371,0.0226
13,Standard_GA_Ablation,4,sphere,50,32,200,5157.756,4.447,5153.309,0.0222
14,Standard_GA_Ablation,4,sphere,50,32,200,5353.127,4.432,5348.694,0.0222
15,Standard_GA_Ablation,4,sphere,50,32,200,5197.928,4.419,5193.509,0.0221
16,Standard_GA_Ablation,4,sphere,50,32,200,5304.824,4.476,5300.348,0.0224
17,Standard_GA_Ablation,4,sphere,50,32,200,5338.315,4.769,5333.547,0.0238
18,Standard_GA_Ablation,4,sphere,50,32,200,5081.844,4.672,5077.172,0.0234
19,Standard_GA_Ablation,4,sphere,50,32,200,5129.798,4.597,5125.201,0.0230
